Drug,Conc,R1,R2,R3,R4,R5,R6,mean
drug_58,0.5xMIC,0.9625,1.0868,0.9758,1.0726,1.0151,1.0175,1.0217166666666666
drug_58,1xMIC,0.9749,0.8808,0.9756,0.8762,1.0675,1.0338,0.9681333333333334
drug_58,2xMIC,0.4366,0.0924,0.4226,0.5443,0.0977,0.7725,0.39435
drug_59,0.000xMIC,0.9322,1.0405,1.0713,0.9992,0.9929,0.9382,0.9957166666666666
drug_59,2xMIC,0.6372,0.7524,0.6219,0.7523,0.6961,0.614,0.6789833333333334
drug_59,4xMIC,0.5468,0.5577,0.5636,0.5471,0.6381,0.5662,0.5699166666666667
drug_59,8xMIC,0.4602,0.4397,0.4147,0.4559,0.4116,0.3903,0.42873333333333336
drug_6,0.000xMIC,0.8807,0.9814,0.9472,0.9233,0.9688,0.9652,0.9444333333333335
drug_6,0.125xMIC,0.7167,0.7157,0.7109,0.6993,0.6951,0.69,0.7046166666666668
drug_6,0.25xMIC,0.4551,0.5275,0.5384,0.4679,0.5168,0.4386,0.4907166666666667
drug_6,0.5xMIC,0.2951,0.3138,0.3212,0.3288,0.3162,0.3193,0.3157333333333333
drug_60,0.000xMIC,0.9811,0.9966,1.2045,0.9788,0.9741,0.8683,1.0005666666666666
drug_60,0.125xMIC,1.1209,1.0979999999999999,1.0048,1.1342,1.123,0.9756,1.0760833333333333
drug_60,0.25xMIC,0.7603,0.8165,0.8327,0.8715,0.7163,0.7392,0.7894166666666668
drug_60,0.5xMIC,0.4487,0.4035,0.4732,0.5048,0.4397,0.4285,0.4497333333333333
drug_61,0.000xMIC,1.1234,1.074,1.0849,1.2243,1.0027,1.0436,1.0921500000000002
drug_61,2xMIC,0.9885,0.9648,0.9555,0.9943,0.9042,1.0028,0.96835
drug_61,4xMIC,0.9214,0.9704,0.9877,1.0379,1.0011,0.8468,0.9608833333333333
drug_61,8xMIC,0.7361,0.6686,0.7704,0.7637,0.6874,0.6466,0.7121333333333334
drug_62,0.000xMIC,1.0835,1.0663,1.1609,1.061,0.9664,1.1115,1.0749333333333333
drug_62,0.25xMIC,1.0746,0.9923,1.0954,0.9804,1.0464,0.9012,1.0150500000000002
drug_62,0.5xMIC,0.9787,1.0494,1.0303,1.0233,1.0523,0.9579,1.0153166666666669
drug_62,1xMIC,0.4897,0.5325,0.3824,0.4746,0.5573,0.4992,0.48928333333333335
drug_63,0.000xMIC,1.0782,1.1012,1.0929,1.0974,1.1295,1.038,1.0895333333333335
drug_63,0.125xMIC,0.9633,0.9692,1.0874,1.0067,0.9942,0.8543,0.9791833333333334
drug_63,0.25xMIC,0.9425,0.8781,1.021,0.8384,0.8594,0.8062,0.8909333333333332
drug_63,0.5xMIC,0.7562,0.7694,0.6704,0.6456,0.7249,0.7802,0.7244499999999999
drug_64,0.000xMIC,0.9782,0.9707,1.0745,1.1337,1.0291,1.0207,1.0344833333333332
drug_64,0.25xMIC,0.9433,0.977,0.9645,0.9464,0.9135,0.9408,0.9475833333333333
drug_64,0.5xMIC,0.7709999999999999,0.8511,0.6894,0.7504,0.8548,0.8195,0.7893666666666665
drug_64,1xMIC,0.2982,0.3459,0.3292,0.2761,0.2831,0.2742,0.3011166666666667
drug_65,0.000xMIC,1.0642,1.0622,1.0768,1.1366,1.1252,1.0313,1.0827166666666665
drug_65,0.125xMIC,0.8573,0.9624,0.953,0.9802,0.9947,0.8362,0.9306333333333333
drug_65,0.25xMIC,0.7794,0.7116,0.6766,0.6173,0.6421,0.5995,0.6710833333333334
drug_66,0.000xMIC,0.8953,0.9653,1.0162,0.9938,0.9174,0.9306,0.9531000000000001
drug_66,1xMIC,1.0254,0.8694,0.9936,0.8733,0.7779,0.8270000000000001,0.8944333333333333
drug_66,2xMIC,0.7687,0.6932,0.7631,0.8362,0.8669,0.7586,0.7811166666666668
drug_66,4xMIC,0.5746,0.5271,0.537,0.547,0.5541,0.6809,0.5701166666666667
drug_67,0.000xMIC,1.1391,1.0677,1.2872,1.2351,1.1858,1.1284,1.1738833333333336
drug_67,0.25xMIC,0.9283,0.9715,0.9365,0.9597,0.9289,0.8603,0.9308666666666666
drug_67,0.5xMIC,0.8995,0.9482,0.8874,0.8203,0.8469,0.8072,0.8682500000000001
drug_67,1xMIC,0.4209,0.4076,0.35,0.3941,0.3452,0.3349,0.37545
drug_68,0.000xMIC,1.0392,0.9859,1.0134,0.9329,0.9308,0.9299,0.9720166666666666
drug_68,0.25xMIC,0.9521,0.9753,0.9534,0.9688,0.9043,0.8298,0.9306166666666665
drug_68,0.5xMIC,0.9262,0.8667,0.8398,0.8884,0.9017,0.8784,0.8835333333333333
drug_68,1xMIC,0.5368,0.5333,0.6717,0.6216,0.6628,0.7225,0.6247833333333334
drug_69,0.000xMIC,1.1183,0.9562,1.0715,0.9361,0.9545,1.0285,1.01085
drug_69,0.125xMIC,1.0861,1.0133,1.1866,1.0472,0.9264,1.1104,1.0616666666666668
drug_69,0.25xMIC,1.1104,1.0639,1.1193,1.1496,1.1711,1.1097,1.1206666666666667
drug_69,0.5xMIC,0.7416,0.8698,0.8077,0.7034,0.7198,0.7522,0.7657500000000002
drug_7,0.000xMIC,0.8053,0.8847,0.9513,0.97,0.9302,0.9095,0.9085000000000001
drug_7,2xMIC,0.6672,0.6849,0.6278,0.6764,0.6472,0.5963,0.6499666666666668
drug_7,4xMIC,0.5206,0.5347,0.6143,0.6152,0.5919,0.6126,0.5815499999999999
drug_7,8xMIC,0.5961,0.5347,0.6089,0.62,0.6058,0.5324,0.5829833333333333
drug_70,0.000xMIC,1.1498,1.0614,1.0321,0.987,1.0208,0.9646,1.03595
drug_70,1xMIC,0.8246,0.8745,0.8707,0.8352,0.7994,0.8879,0.8487166666666667
drug_70,2xMIC,0.6507,0.6134,0.7136,0.6897,0.6848,0.6543,0.66775
drug_70,4xMIC,0.3465,0.3272,0.3645,0.3153,0.3703,0.3488,0.3454333333333333
drug_71,0.000xMIC,0.9743,1.062,1.0081,0.9738,1.0941,1.0221,1.0224
drug_71,0.5xMIC,1.0694,1.131,1.1078,1.0037,1.1116,1.1201,1.0906
