,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6
strain.220,0.0,0.0,-0.0014473843791497863,0.009728597087334095,0.0,0.0
strain.221,-9.716406493039837e-07,0.0,0.0,0.0,0.0,0.0
strain.222,0.0,0.0,0.0004471800823782212,0.0,0.0,-0.7456202334072344
strain.223,0.0,0.0,-0.00037677636320210825,0.0,0.0,0.0
strain.224,-0.0006180136960717966,0.0,0.0,0.0,0.0,0.0
strain.225,0.0,0.0,0.0,0.0,0.5025671101554909,0.0
strain.226,0.0007344717850905778,0.0,0.0,0.0,0.0,-0.18961334663719714
strain.227,1.5357665996574321,0.0,0.0,0.34283129991627453,-1.1904179332714067,-0.008066551102888899
strain.228,-0.02328476181123481,0.0,0.0,0.0,0.0,0.522447454632434
strain.229,0.22506581103300266,0.14362595203966544,0.008571166439150369,2.0507383398474683e-05,-0.21101143702641076,-0.8543051423686085
strain.23,1.8973690010761752,0.005424169160131354,0.0,-0.1546685619990558,0.0,-1.1022816207859385
strain.230,0.0,0.0,0.033342247465675365,0.0,0.0,0.0
strain.231,0.00033453593172018176,0.0,-0.0008368351633606633,0.0,0.0,-0.07176860628815539
strain.232,1.1693634427940163,-0.04808741230926099,0.0,-1.43139111545005,0.0,0.04848024738170274
